symbol,ex_date,purpose,factor
AARON,2025-08-25,Bonus 1:1,0.5
AARTECH,2024-08-09,Bonus 1:2,0.6666666666666666
ADVANIHOTR,2024-03-20,Bonus 1:1,0.5
AHCL,2026-04-24,Bonus 1:1,0.5
AIIL,2026-01-13,Bonus 4:1,0.2
AKSHAR,2024-02-15,Bonus 1:5,0.8333333333333334
ALLCARGO,2024-01-02,Bonus 3:1,0.25
ANANDRATHI,2025-03-05,Bonus 1:1,0.5
ANANDRATHI,2026-06-03,Bonus 1:1,0.5
ANMOL,2023-07-18,Bonus 4:1,0.2
ANUHPHR,2025-07-15,Bonus 1:1,0.5
ANUP,2024-04-23,Bonus 1:1,0.5
APTECHT,2023-07-14,Bonus 2:5,0.7142857142857143
ASHOKLEY,2025-07-16,Bonus 1:1,0.5
AURIONPRO,2024-06-27,Bonus 1:1,0.5
AXITA,2023-12-22,Bonus 1:3,0.75
AXITA,2024-09-20,Bonus 1:3,0.75
AXITA,2026-02-13,Bonus 1:10,0.9090909090909091
BAJFINANCE,2025-06-16,Bonus 4:1,0.2
BANCOINDIA,2024-12-30,Bonus 1:1,0.5
BEPL,2023-07-05,Bonus 1:2,0.6666666666666666
BERGEPAINT,2023-09-22,Bonus 1:5,0.8333333333333334
BESTAGRO,2026-01-16,Bonus 1:2,0.6666666666666666
BHARATRAS,2025-12-12,Bonus 1:1,0.5
BIGBLOC,2024-09-12,Bonus 1:1,0.5
BLUESTARCO,2023-06-20,Bonus 1:1,0.5
BPCL,2024-06-21,Bonus 1:1,0.5
BRIGADE,2026-06-17,Bonus 1:3,0.75
BSE,2025-05-23,Bonus 2:1,0.3333333333333333
CDSL,2024-08-23,Bonus 1:1,0.5
CGCL,2024-03-05,Bonus 1:1,0.5
CHOICEIN,2024-02-20,Bonus 1:1,0.5
CONCOR,2025-07-04,Bonus 1:4,0.8
CUB,2026-06-12,Bonus 1:3,0.75
CUPID,2024-04-04,Bonus 1:1,0.5
CUPID,2026-03-09,Bonus 4:1,0.2
DELPHIFX,2026-02-13,Bonus 2:1,0.3333333333333333
DHARAN,2025-04-04,Bonus 1:1,0.5
DJML,2024-08-09,Bonus 2:1,0.3333333333333333
DPWIRES,2023-11-08,Bonus 1:7,0.875
DRCSYSTEMS,2024-02-27,Bonus 2:1,0.3333333333333333
DYCL,2025-07-11,Bonus 1:1,0.5
EASEMYTRIP,2024-11-29,Bonus 1:1,0.5
ECLERX,2026-03-13,Bonus 1:1,0.5
EIHAHOTELS,2024-08-13,Bonus 1:1,0.5
ESSENTIA,2024-01-11,Bonus 1:1,0.5
FCL,2025-10-31,Bonus 4:1,0.2
FIEMIND,2024-02-28,Bonus 1:1,0.5
GAEL,2024-03-15,Bonus 1:1,0.5
GARFIBRES,2025-01-03,Bonus 4:1,0.2
GENSOL,2023-10-17,Bonus 2:1,0.3333333333333333
GMBREW,2024-05-24,Bonus 1:4,0.8
GNA,2023-09-01,Bonus 1:1,0.5
GODFRYPHLP,2025-09-16,Bonus 2:1,0.3333333333333333
GOLDIAM,2026-07-10,Bonus 1:3,0.75
GPTINFRA,2024-07-03,Bonus 1:1,0.5
GREENLAM,2025-03-21,Bonus 1:1,0.5
GRMOVER,2025-12-24,Bonus 2:1,0.3333333333333333
GRPLTD,2024-08-12,Bonus 3:1,0.25
GULPOLY,2023-06-21,Bonus 1:5,0.8333333333333334
HARDWYN,2023-06-05,Bonus 1:3,0.75
HARDWYN,2024-12-27,Bonus 2:5,0.7142857142857143
HDFCAMC,2025-11-26,Bonus 1:1,0.5
HDFCBANK,2025-08-26,Bonus 1:1,0.5
HINDPETRO,2024-06-21,Bonus 1:2,0.6666666666666666
HIRECT,2026-03-27,Bonus 1:1,0.5
IFGLEXPOR,2025-07-18,Bonus 1:1,0.5
IGL,2025-01-31,Bonus 1:1,0.5
INDIAMART,2023-06-21,Bonus 1:1,0.5
INFOBEAN,2026-02-27,Bonus 3:1,0.25
INOXWIND,2024-05-24,Bonus 3:1,0.25
IRB,2026-03-30,Bonus 1:1,0.5
IRISDOREME,2025-07-04,Bonus 1:1,0.5
JINDWORLD,2025-02-28,Bonus 4:1,0.2
JTLIND,2023-09-07,Bonus 1:1,0.5
KAMOPAINTS,2023-08-01,Bonus 1:1,0.5
KANANIIND,2024-01-30,Bonus 1:1,0.5
KANSAINER,2023-07-04,Bonus 1:2,0.6666666666666666
KAPSTON,2026-03-06,Bonus 1:2,0.6666666666666666
KARURVYSYA,2025-08-26,Bonus 1:5,0.8333333333333334
KILITCH,2026-03-24,Bonus 1:1,0.5
KITEX,2025-01-17,Bonus 2:1,0.3333333333333333
KOTHARIPRO,2025-02-18,Bonus 1:1,0.5
KOTYARK,2026-06-24,Bonus 10:1,0.09090909090909091
KPIGREEN,2024-02-15,Bonus 1:2,0.6666666666666666
KPIGREEN,2025-01-03,Bonus 1:2,0.6666666666666666
KRISHANA,2023-10-25,Bonus 1:1,0.5
KRITIKA,2023-12-19,Bonus 2:1,0.3333333333333333
LAL,2024-03-28,Bonus 6:11,0.6470588235294118
LALPATHLAB,2025-12-19,Bonus 1:1,0.5
LGHL,2025-10-10,Bonus 7:5,0.4166666666666667
LICI,2026-05-29,Bonus 1:1,0.5
LINC,2024-12-20,Bonus 1:1,0.5
MAANALU,2023-07-27,Bonus 1:1,0.5
MASFIN,2024-02-22,Bonus 2:1,0.3333333333333333
MBAPL,2023-10-20,Bonus 1:1,0.5
METROPOLIS,2026-03-20,Bonus 3:1,0.25
MINDTECK,2024-09-20,Bonus 1:4,0.8
MKPL,2024-03-15,Bonus 2:1,0.3333333333333333
MMFL,2024-07-16,Bonus 1:1,0.5
MONARCH,2024-09-13,Bonus 1:1,0.5
MONEYBOXX,2025-12-15,Bonus 1:1,0.5
MOTHERSON,2025-07-18,Bonus 1:2,0.6666666666666666
MOTILALOFS,2024-06-10,Bonus 3:1,0.25
MSUMI,2025-07-18,Bonus 1:2,0.6666666666666666
NAVKARURB,2025-04-24,Bonus 3:2,0.4
NAZARA,2025-09-26,Bonus 1:1,0.5
NBCC,2024-10-07,Bonus 1:2,0.6666666666666666
NDRAUTO,2023-07-24,Bonus 1:1,0.5
NDRAUTO,2024-09-25,Bonus 1:1,0.5
NESTLEIND,2025-08-08,Bonus 1:1,0.5
NEWGEN,2024-01-12,Bonus 1:1,0.5
NINSYS,2023-08-03,Bonus 4:5,0.5555555555555556
NMDC,2024-12-27,Bonus 2:1,0.3333333333333333
NRL,2024-03-20,Bonus 1:2,0.6666666666666666
OIL,2024-07-02,Bonus 1:2,0.6666666666666666
ORIENTTECH,2026-01-05,Bonus 1:10,0.9090909090909091
OSWALSEEDS,2024-02-02,Bonus 1:5,0.8333333333333334
PAISALO,2024-03-20,Bonus 1:1,0.5
PATANJALI,2025-09-11,Bonus 2:1,0.3333333333333333
PFC,2023-09-21,Bonus 1:4,0.8
PHOENIXLTD,2024-09-20,Bonus 1:1,0.5
PIDILITIND,2025-09-23,Bonus 1:1,0.5
POWERGRID,2023-09-12,Bonus 1:3,0.75
POWERMECH,2024-10-08,Bonus 1:1,0.5
RAMASTEEL,2024-03-19,Bonus 2:1,0.3333333333333333
RAMRAT,2025-12-26,Bonus 1:1,0.5
REDTAPE,2025-02-04,Bonus 3:1,0.25
RELIANCE,2024-10-28,Bonus 1:1,0.5
RITES,2024-09-20,Bonus 1:1,0.5
RMDRIP,2026-04-10,Bonus 5:7,0.5833333333333334
RNBDENIMS,2026-04-02,Bonus 1:2,0.6666666666666666
ROTO,2023-07-07,Bonus 1:1,0.5
ROTO,2025-07-11,Bonus 2:1,0.3333333333333333
RPEL,2024-11-29,Bonus 1:1,0.5
RPPL,2024-02-26,Bonus 2:1,0.3333333333333333
SADHNANIQ,2023-07-05,Bonus 2:9,0.8181818181818182
SAFARI,2023-12-12,Bonus 1:1,0.5
SAKSOFT,2024-09-19,Bonus 1:4,0.8
SAKUMA,2024-08-09,Bonus 4:1,0.2
SALASAR,2024-02-01,Bonus 4:1,0.2
SANDUMA,2024-02-02,Bonus 5:1,0.16666666666666666
SANDUMA,2025-09-22,Bonus 2:1,0.3333333333333333
SARVESHWAR,2023-09-15,Bonus 2:1,0.3333333333333333
SBC,2024-01-19,Bonus 1:2,0.6666666666666666
SBC,2025-03-10,Bonus 1:2,0.6666666666666666
SHAKTIPUMP,2024-11-25,Bonus 5:1,0.16666666666666666
SHARDAMOTR,2025-07-04,Bonus 1:1,0.5
SHILPAMED,2025-10-03,Bonus 1:1,0.5
SHRIPISTON,2023-07-24,Bonus 1:1,0.5
SIKKO,2025-12-08,Bonus 1:1,0.5
SILVERTUC,2026-03-06,Bonus 1:1,0.5
SKYGOLD,2024-12-16,Bonus 9:1,0.1
SMCGLOBAL,2025-11-14,Bonus 1:1,0.5
SONATSOFTW,2023-12-12,Bonus 1:1,0.5
SURYAROSNI,2025-01-01,Bonus 1:1,0.5
TARIL,2025-02-14,Bonus 1:1,0.5
THANGAMAYL,2023-07-17,Bonus 1:1,0.5
THYROCARE,2025-11-28,Bonus 2:1,0.3333333333333333
TIMETECHNO,2025-09-23,Bonus 1:1,0.5
TRENT,2026-06-04,Bonus 1:2,0.6666666666666666
UEL,2024-09-20,Bonus 1:4,0.8
UEL,2025-05-30,Bonus 17:25,0.5952380952380952
UEL,2025-10-10,Bonus 2:1,0.3333333333333333
UNIVASTU,2025-10-13,Bonus 2:1,0.3333333333333333
VAISHALI,2024-10-15,Bonus 1:1,0.5
VERTOZ,2024-07-05,Bonus 1:1,0.5
VIMTALABS,2025-06-13,Bonus 1:1,0.5
VMART,2025-06-23,Bonus 3:1,0.25
VRLLOG,2025-08-14,Bonus 1:1,0.5
VSTIND,2024-09-06,Bonus 10:1,0.09090909090909091
WIPRO,2024-12-03,Bonus 1:1,0.5
ZFCVINDIA,2026-06-24,Bonus 5:1,0.16666666666666666
