# Point-in-time NIFTY-200 membership (v3_supplementry 3.4).
# from_date <= as_of < to_date (to_date empty = current member).
# Built from monthly NIFTY-200 constituent archives; this starter file
# stamps all current members from 2019-04-01 — replace with true ranges before Gate 1.
symbol,name,sector,from_date,to_date
RELIANCE,Reliance Industries,Energy,2019-04-01,
TCS,Tata Consultancy Services,IT,2019-04-01,
HDFCBANK,HDFC Bank,Banking,2019-04-01,
ICICIBANK,ICICI Bank,Banking,2019-04-01,
INFY,Infosys,IT,2019-04-01,
SBIN,State Bank of India,Banking,2019-04-01,
BHARTIARTL,Bharti Airtel,Telecom,2019-04-01,
ITC,ITC,FMCG,2019-04-01,
LT,Larsen & Toubro,Infrastructure,2019-04-01,
KOTAKBANK,Kotak Mahindra Bank,Banking,2019-04-01,
AXISBANK,Axis Bank,Banking,2019-04-01,
BAJFINANCE,Bajaj Finance,NBFC,2019-04-01,
MARUTI,Maruti Suzuki,Auto,2019-04-01,
TITAN,Titan Company,Consumer,2019-04-01,
WIPRO,Wipro,IT,2019-04-01,
BPCL,Bharat Petroleum,Energy,2019-04-01,
HINDUNILVR,Hindustan Unilever,FMCG,2019-04-01,
ASIANPAINT,Asian Paints,Consumer,2019-04-01,
HCLTECH,HCL Technologies,IT,2019-04-01,
SUNPHARMA,Sun Pharma,Pharma,2019-04-01,
TATAMOTORS,Tata Motors,Auto,2019-04-01,
TATASTEEL,Tata Steel,Metals,2019-04-01,
NTPC,NTPC,Power,2019-04-01,
POWERGRID,Power Grid,Power,2019-04-01,
ULTRACEMCO,UltraTech Cement,Cement,2019-04-01,
M&M,Mahindra & Mahindra,Auto,2019-04-01,
JSWSTEEL,JSW Steel,Metals,2019-04-01,
ONGC,ONGC,Energy,2019-04-01,
COALINDIA,Coal India,Mining,2019-04-01,
ADANIENT,Adani Enterprises,Conglomerate,2019-04-01,
ADANIPORTS,Adani Ports,Infrastructure,2019-04-01,
TECHM,Tech Mahindra,IT,2019-04-01,
NESTLEIND,Nestle India,FMCG,2019-04-01,
GRASIM,Grasim Industries,Cement,2019-04-01,
HINDALCO,Hindalco,Metals,2019-04-01,
DRREDDY,Dr Reddys Labs,Pharma,2019-04-01,
CIPLA,Cipla,Pharma,2019-04-01,
BAJAJFINSV,Bajaj Finserv,NBFC,2019-04-01,
INDUSINDBK,IndusInd Bank,Banking,2019-04-01,
EICHERMOT,Eicher Motors,Auto,2019-04-01,
HEROMOTOCO,Hero MotoCorp,Auto,2019-04-01,
APOLLOHOSP,Apollo Hospitals,Healthcare,2019-04-01,
DIVISLAB,Divis Labs,Pharma,2019-04-01,
TATACONSUM,Tata Consumer,FMCG,2019-04-01,
BRITANNIA,Britannia,FMCG,2019-04-01,
SBILIFE,SBI Life,Insurance,2019-04-01,
HDFCLIFE,HDFC Life,Insurance,2019-04-01,
