# PIT top-100 liquidity universe (v6 monthly_pit_universe).
# One row per (symbol, month): from_date <= as_of < to_date; empty to_date = current.
# Regenerate monthly: python scripts/build_daily_universe.py
symbol,name,sector,from_date,to_date
HDFCBANK,HDFCBANK,UNKNOWN,2023-12-01,2024-01-01
RELIANCE,RELIANCE,UNKNOWN,2023-12-01,2024-01-01
ICICIBANK,ICICIBANK,UNKNOWN,2023-12-01,2024-01-01
AXISBANK,AXISBANK,UNKNOWN,2023-12-01,2024-01-01
SBIN,SBIN,UNKNOWN,2023-12-01,2024-01-01
INFY,INFY,UNKNOWN,2023-12-01,2024-01-01
TATAMOTORS,TATAMOTORS,UNKNOWN,2023-12-01,2024-01-01
KOTAKBANK,KOTAKBANK,UNKNOWN,2023-12-01,2024-01-01
TCS,TCS,UNKNOWN,2023-12-01,2024-01-01
BAJFINANCE,BAJFINANCE,UNKNOWN,2023-12-01,2024-01-01
ZOMATO,ZOMATO,UNKNOWN,2023-12-01,2024-01-01
ADANIENT,ADANIENT,UNKNOWN,2023-12-01,2024-01-01
MARUTI,MARUTI,UNKNOWN,2023-12-01,2024-01-01
LT,LT,UNKNOWN,2023-12-01,2024-01-01
INDUSINDBK,INDUSINDBK,UNKNOWN,2023-12-01,2024-01-01
ITC,ITC,UNKNOWN,2023-12-01,2024-01-01
BHARTIARTL,BHARTIARTL,UNKNOWN,2023-12-01,2024-01-01
TATASTEEL,TATASTEEL,UNKNOWN,2023-12-01,2024-01-01
RECLTD,RECLTD,UNKNOWN,2023-12-01,2024-01-01
HAL,HAL,UNKNOWN,2023-12-01,2024-01-01
M&M,M&M,UNKNOWN,2023-12-01,2024-01-01
PNB,PNB,UNKNOWN,2023-12-01,2024-01-01
HINDUNILVR,HINDUNILVR,UNKNOWN,2023-12-01,2024-01-01
PFC,PFC,UNKNOWN,2023-12-01,2024-01-01
BANKBARODA,BANKBARODA,UNKNOWN,2023-12-01,2024-01-01
ADANIPORTS,ADANIPORTS,UNKNOWN,2023-12-01,2024-01-01
ADANIPOWER,ADANIPOWER,UNKNOWN,2023-12-01,2024-01-01
MAZDOCK,MAZDOCK,UNKNOWN,2023-12-01,2024-01-01
IDFCFIRSTB,IDFCFIRSTB,UNKNOWN,2023-12-01,2024-01-01
IRFC,IRFC,UNKNOWN,2023-12-01,2024-01-01
TECHM,TECHM,UNKNOWN,2023-12-01,2024-01-01
BHEL,BHEL,UNKNOWN,2023-12-01,2024-01-01
COALINDIA,COALINDIA,UNKNOWN,2023-12-01,2024-01-01
TITAN,TITAN,UNKNOWN,2023-12-01,2024-01-01
HCLTECH,HCLTECH,UNKNOWN,2023-12-01,2024-01-01
ASIANPAINT,ASIANPAINT,UNKNOWN,2023-12-01,2024-01-01
NTPC,NTPC,UNKNOWN,2023-12-01,2024-01-01
POWERGRID,POWERGRID,UNKNOWN,2023-12-01,2024-01-01
CANBK,CANBK,UNKNOWN,2023-12-01,2024-01-01
HINDALCO,HINDALCO,UNKNOWN,2023-12-01,2024-01-01
PAYTM,PAYTM,UNKNOWN,2023-12-01,2024-01-01
DRREDDY,DRREDDY,UNKNOWN,2023-12-01,2024-01-01
LIQUIDBEES,LIQUIDBEES,UNKNOWN,2023-12-01,2024-01-01
ZEEL,ZEEL,UNKNOWN,2023-12-01,2024-01-01
POLYCAB,POLYCAB,UNKNOWN,2023-12-01,2024-01-01
DIXON,DIXON,UNKNOWN,2023-12-01,2024-01-01
SUNPHARMA,SUNPHARMA,UNKNOWN,2023-12-01,2024-01-01
ULTRACEMCO,ULTRACEMCO,UNKNOWN,2023-12-01,2024-01-01
SHRIRAMFIN,SHRIRAMFIN,UNKNOWN,2023-12-01,2024-01-01
COCHINSHIP,COCHINSHIP,UNKNOWN,2023-12-01,2024-01-01
BANDHANBNK,BANDHANBNK,UNKNOWN,2023-12-01,2024-01-01
RBLBANK,RBLBANK,UNKNOWN,2023-12-01,2024-01-01
RVNL,RVNL,UNKNOWN,2023-12-01,2024-01-01
PERSISTENT,PERSISTENT,UNKNOWN,2023-12-01,2024-01-01
YESBANK,YESBANK,UNKNOWN,2023-12-01,2024-01-01
TATAPOWER,TATAPOWER,UNKNOWN,2023-12-01,2024-01-01
APOLLOHOSP,APOLLOHOSP,UNKNOWN,2023-12-01,2024-01-01
BAJAJFINSV,BAJAJFINSV,UNKNOWN,2023-12-01,2024-01-01
BSE,BSE,UNKNOWN,2023-12-01,2024-01-01
EICHERMOT,EICHERMOT,UNKNOWN,2023-12-01,2024-01-01
HEROMOTOCO,HEROMOTOCO,UNKNOWN,2023-12-01,2024-01-01
FEDERALBNK,FEDERALBNK,UNKNOWN,2023-12-01,2024-01-01
BAJAJ-AUTO,BAJAJ-AUTO,UNKNOWN,2023-12-01,2024-01-01
RPOWER,RPOWER,UNKNOWN,2023-12-01,2024-01-01
DLF,DLF,UNKNOWN,2023-12-01,2024-01-01
IDEA,IDEA,UNKNOWN,2023-12-01,2024-01-01
HDFCLIFE,HDFCLIFE,UNKNOWN,2023-12-01,2024-01-01
CHOLAFIN,CHOLAFIN,UNKNOWN,2023-12-01,2024-01-01
IBULHSGFIN,IBULHSGFIN,UNKNOWN,2023-12-01,2024-01-01
WIPRO,WIPRO,UNKNOWN,2023-12-01,2024-01-01
ASHOKLEY,ASHOKLEY,UNKNOWN,2023-12-01,2024-01-01
LTIM,LTIM,UNKNOWN,2023-12-01,2024-01-01
INDIGO,INDIGO,UNKNOWN,2023-12-01,2024-01-01
BEL,BEL,UNKNOWN,2023-12-01,2024-01-01
JSWSTEEL,JSWSTEEL,UNKNOWN,2023-12-01,2024-01-01
CIPLA,CIPLA,UNKNOWN,2023-12-01,2024-01-01
VBL,VBL,UNKNOWN,2023-12-01,2024-01-01
COFORGE,COFORGE,UNKNOWN,2023-12-01,2024-01-01
VEDL,VEDL,UNKNOWN,2023-12-01,2024-01-01
ONGC,ONGC,UNKNOWN,2023-12-01,2024-01-01
UNIONBANK,UNIONBANK,UNKNOWN,2023-12-01,2024-01-01
BRITANNIA,BRITANNIA,UNKNOWN,2023-12-01,2024-01-01
IRCON,IRCON,UNKNOWN,2023-12-01,2024-01-01
AUROPHARMA,AUROPHARMA,UNKNOWN,2023-12-01,2024-01-01
TATACOMM,TATACOMM,UNKNOWN,2023-12-01,2024-01-01
HDFCAMC,HDFCAMC,UNKNOWN,2023-12-01,2024-01-01
NMDC,NMDC,UNKNOWN,2023-12-01,2024-01-01
JSWENERGY,JSWENERGY,UNKNOWN,2023-12-01,2024-01-01
SJVN,SJVN,UNKNOWN,2023-12-01,2024-01-01
MAHABANK,MAHABANK,UNKNOWN,2023-12-01,2024-01-01
GAIL,GAIL,UNKNOWN,2023-12-01,2024-01-01
JINDALSTEL,JINDALSTEL,UNKNOWN,2023-12-01,2024-01-01
BPCL,BPCL,UNKNOWN,2023-12-01,2024-01-01
DIVISLAB,DIVISLAB,UNKNOWN,2023-12-01,2024-01-01
TVSMOTOR,TVSMOTOR,UNKNOWN,2023-12-01,2024-01-01
NESTLEIND,NESTLEIND,UNKNOWN,2023-12-01,2024-01-01
SBILIFE,SBILIFE,UNKNOWN,2023-12-01,2024-01-01
PEL,PEL,UNKNOWN,2023-12-01,2024-01-01
UPL,UPL,UNKNOWN,2023-12-01,2024-01-01
INDUSTOWER,INDUSTOWER,UNKNOWN,2023-12-01,2024-01-01
HDFCBANK,HDFCBANK,UNKNOWN,2024-01-01,2024-02-01
RELIANCE,RELIANCE,UNKNOWN,2024-01-01,2024-02-01
ICICIBANK,ICICIBANK,UNKNOWN,2024-01-01,2024-02-01
SBIN,SBIN,UNKNOWN,2024-01-01,2024-02-01
AXISBANK,AXISBANK,UNKNOWN,2024-01-01,2024-02-01
INFY,INFY,UNKNOWN,2024-01-01,2024-02-01
KOTAKBANK,KOTAKBANK,UNKNOWN,2024-01-01,2024-02-01
BAJFINANCE,BAJFINANCE,UNKNOWN,2024-01-01,2024-02-01
TATAMOTORS,TATAMOTORS,UNKNOWN,2024-01-01,2024-02-01
ZOMATO,ZOMATO,UNKNOWN,2024-01-01,2024-02-01
TCS,TCS,UNKNOWN,2024-01-01,2024-02-01
ADANIENT,ADANIENT,UNKNOWN,2024-01-01,2024-02-01
MARUTI,MARUTI,UNKNOWN,2024-01-01,2024-02-01
LT,LT,UNKNOWN,2024-01-01,2024-02-01
ADANIPOWER,ADANIPOWER,UNKNOWN,2024-01-01,2024-02-01
ITC,ITC,UNKNOWN,2024-01-01,2024-02-01
RECLTD,RECLTD,UNKNOWN,2024-01-01,2024-02-01
PFC,PFC,UNKNOWN,2024-01-01,2024-02-01
PNB,PNB,UNKNOWN,2024-01-01,2024-02-01
BHARTIARTL,BHARTIARTL,UNKNOWN,2024-01-01,2024-02-01
INDUSINDBK,INDUSINDBK,UNKNOWN,2024-01-01,2024-02-01
TATASTEEL,TATASTEEL,UNKNOWN,2024-01-01,2024-02-01
IRFC,IRFC,UNKNOWN,2024-01-01,2024-02-01
HINDUNILVR,HINDUNILVR,UNKNOWN,2024-01-01,2024-02-01
M&M,M&M,UNKNOWN,2024-01-01,2024-02-01
BANKBARODA,BANKBARODA,UNKNOWN,2024-01-01,2024-02-01
HAL,HAL,UNKNOWN,2024-01-01,2024-02-01
BHEL,BHEL,UNKNOWN,2024-01-01,2024-02-01
ADANIPORTS,ADANIPORTS,UNKNOWN,2024-01-01,2024-02-01
HCLTECH,HCLTECH,UNKNOWN,2024-01-01,2024-02-01
COALINDIA,COALINDIA,UNKNOWN,2024-01-01,2024-02-01
NTPC,NTPC,UNKNOWN,2024-01-01,2024-02-01
CANBK,CANBK,UNKNOWN,2024-01-01,2024-02-01
ZEEL,ZEEL,UNKNOWN,2024-01-01,2024-02-01
YESBANK,YESBANK,UNKNOWN,2024-01-01,2024-02-01
IDFCFIRSTB,IDFCFIRSTB,UNKNOWN,2024-01-01,2024-02-01
POWERGRID,POWERGRID,UNKNOWN,2024-01-01,2024-02-01
